Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
Gomez Cleaning Inc.,,Carmen Gomez,3478438601,347 964-1162,gomezcleaning@aol.com,"MBE,WBE",12/31/2017;12/31/2017,HISPANIC,3525 Decatur Avenue,Apt 2K,Bronx,NY,10467,3525 Decatur Avenue,Apt 2K,Bronx,New York,10467,,01/24/2002,,,"Office cleaning, janitorial services floor, stripping waxing, buffing, carpet, shampoo upholstery cleaning steam & sanitizing.",,,Graham Windham,11555,,06/01/2002,Janitorial services.,Mass Electric Company,856,,02/26/2007,Janitorial Services.,,0,,,,,0,,,
Infusion Funding LLC,,Suellen Erwin,2012584503,866 524-8105,serwin@infusionfunding.com,WBE,,NON-MINORITY,60 Crescent Bend,,Allendale,NJ,07401,P.O. Box 175,,Allendale,New Jersey,07401,http://www.infusionfunding.com,06/26/2006,,,"Infusion Funding LLC offers factoring, accounts receivable financing and purchase order funding solutions for small to medium sized businesses to alleviate working capital issues and accelerate growth.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Business Pipeline, Inc.",,Jacqueline Edwards,2122813295,212 281-1742,jedwards@businesspipeline.com,"MBE,WBE",01/31/2018;01/31/2018,BLACK,180 Edgecombe Avenue,Suite 2G,New York,NY,10030,1562 First Avenue,Suite 205-2688,New York,New York,10028,http://www.businesspipeline.com,03/07/2003,,,"Consulting firm delivering eduction and training: boost staff skills, business skills, online marketing; Project management; marketing consulting; management consulting; small business consulting; administrative consulting; accounting and human relations consulting.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Private Comics, Inc.",,Nethia Heyward,6462712591,,privatecomics@gmail.com,"MBE,WBE",08/30/2019;08/30/2019,BLACK,773 Concourse Village East,21B,Bronx,NY,10451,773 Concourse Village East,21B,Bronx,New York,10451,http://www.privatecomicsent.com,03/11/2008,,,"Private Comics, Inc. provides catered entertainment for private functions and educational entertainment for school children.  Professional Artists are available for comedic performances, skits, motivational speaking and staff development.",,,Mentoring in Medicine,2500,100,05/01/2013,Wrote and directed educational skit as an introduction to program participants,Mary J Blige Center for Women,3000,100,05/01/2012,Facilitated interactive workshops designed to help participants explore careers.,Workforce1,1000,75,09/01/2013,Workforce/Skill Development Workshop,Catherine W. Bishop,3000,100,05/01/2012,Facilitated interactive workshops designed to help participants explore careers.
Monia Contracting of NY Inc.,,MD Rahman,9172827544,7184784420,taponusa@aol.com,MBE,10/30/2019,ASIAN,86-05 60th Road,Ste. 1G,Elmhurst,NY,11373,86-05 60th Road,Ste. 1G,Elmhurst,New York,11373,,12/27/2005,,,Painting and carpentry in maintenance work and repair jobs.,No,Building Construction (non-Residential),NYC ACS,7372383,100,04/03/2013,General Construction,,0,,,,,0,,,,,0,,,
"M. Buschfrers Architect, P.C.",,Maximo Buschfrers,5165022178,516-502-2178,mbf@maxbusch.com,MBE,02/28/2017,HISPANIC,40 Railroad Ave.,2A,Glen Head,NY,11545,7 Highland Place,,Sea Cliff,New York,11579,http://www.maxbusch.com,08/30/2007,,,"Architectural Practice - Residential, commercial, multi-family and institutional - Design through Construction Documentation, Bidding and Construction Observation",,,Waggoner,160000,,12/10/2011,House renovation,Escasany,45000,,07/01/2011,Apartment renovation,Santangelo,25000,,06/01/2011,Apartment renovation,,0,,,
"Garden State Highway Products, Inc.",,Sharon Green,8566927572,856 692-6797,Sharon@GardenStateHwy.com,WBE,,NON-MINORITY,1740 East Oak Road,,Vineland,NJ,08361,1740 East Oak Road,,Vineland,New Jersey,08361,http://www.gardenstatehwy.com,09/14/1987,20000000,,"Manufacturer of traffic, street, specialty, mast arm and interstate overhead signs. Distributor of a vast array of traffic sign and safety products including: aluminum blanks, reflective and non-reflective sheeting, u-channel, square and round posts, breakaway post systems, brackets, hardware, traffic cones, drums and barricades, traffic paint and stencils, thermoplastic, cold patch, paint stripers, guardrail, vests, gloves, hard hats, etc. Signs installation and construction work zone operations including flagging and traffic maintenace- arrowboards, message boards, crash truck attenuators - sales and rentals.",,,New Jersey DOT,500000,20,04/01/2014,"Supply various sizes, shapes, gauges of aluminum blanks",City Philidelphia,868586,35,04/01/2013,"Manufacture traffic and street sign faces and finished signs, supply an array of traffic safety materials",Abington,174716,35,03/01/2014,Supply sign posts and traffic signs and safety products,,0,,,
"GIGAPIXELCREATIVE, INC.",,Yao-Hui Huang,8888142543,,yao@gigapixelcreative.com,"MBE,WBE",11/30/2016;11/30/2016,ASIAN,220 WEST 30TH ST,2ND FLOOR,NEW YORK,NY,10001,220 WEST 30TH ST,2ND FLOOR,NEW YORK,New York,10001,http://gigapixelcreative.com,06/21/2004,,,"Web design, development and marketing company.",,,Husdon Realty Capital,28000,,10/10/2010,Web Design,SSK,15000,,01/10/2010,Web Design,Ideal Medical Practices,20000,,01/01/2011,Web Design,,0,,,
"Cerami & Associates, Inc.",,Victoria Cerami,2123701776,2123701736,vcerami@ceramiassociates.com,WBE,,NON-MINORITY,404 5th Avenue,8th,New York,NY,10018,404 5th Avenue,8th,New York,New York,10018,,11/06/1965,,,"Team of acoustical, audiovisual, and technology design consultant",,,Jones Lang LaSalle,206000,,01/30/2009,Acoustical consulting services for 1 Bryant Park - Bank of America,Gensler,192000,,01/30/2008,Acoustical Consulting services for The New York Time HQ building,Systra Consulting,37296,,12/30/2008,Acoustical consulting services for LIRR Jamaica Central Control Building: 6th Fl. Theatre,,0,,,
"ProClaim, Inc.",,Joanne Orlando,9143664004,9143664111,jorlando@proclaimservices.com,WBE,,NON-MINORITY,One Central Avenue,,Tarrytown,NY,10591,One Central Avenue,,Tarrytown,New York,10591,http://www.proclaimservices.com,01/24/2002,,,Insurance vertification billing & collections of ambulance EMS claims including patient invoices. scanning of all documentation.,,,,0,,,,,0,,,,,0,,,,,0,,,
"Sanzo Ltd., Inc.",,Carol Sanzo,9082766654,908 276-2733,sales@sanzoltd.com,WBE,,NON-MINORITY,35 Munsee Drive,,Cranford,NJ,07016,35 Munsee Drive,,Cranford,New Jersey,07016,http://www.sanzoltd.com,08/23/1988,,,"Supply house providing: Industrial construction, safety, plumbing, electrical, hoses, motors, generators, compressors, cutting tools, janitorial and housekeeping supplies",,,ACS System Assoc.,420495,,05/01/2012,"Supplier of pumps, HVAC supplies (subcontractor)",Delric Construction,229153,,08/01/2010,Supplier of Bldg. Supplies,"WDF, Inc.",230000,,03/01/2011,Supplier of Pipe + Plumbing Supplies (subcontractor),,0,,,
Control Electropolishing Corp.,,Nancy Zapata,7188586634,718 596-6127,nzapata@controlelectropolishing.com,"MBE,WBE",05/31/2018;05/31/2018,HISPANIC,109 Walworth Street,,Brooklyn,NY,11205,P.O Box 050237,,Brooklyn,New York,11205,http://www.controlelectropolishing.com,05/22/1959,,,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work place.  It is used to polish, passivate, and deburr metal parts; it is often described as the reverse of electroplating. This process is useful in medical and surgical industries. Passivation is the process of making a material 'passive' in relation to another material prior to using the materials together. In the context of corrosion, passivation is the spontaneous formation of a hard non-reactive surface film that inhibits further corrosion. This layer is usually an oxide or nitride that is a few atoms this.",,,Oberg Saver,326000,,12/01/2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.  It is used to polish, passivate, and deburr metal parts; it is often described as the reverse o",Checkmate,271000,,12/01/2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.",Okay Industries,210000,,12/01/2012,"Electropolishing also referred to as electrochemical polishing, is an electrochemical process that removes material from a metallic work piece.",,0,,,
"Krause & Sawyer, Inc.",,Tracy Sawyer,2122574594,,tracey@krausesawyer.com,WBE,,NON-MINORITY,580 Broadway,Suite 500,New York,NY,10012,580 Broadway,Suite 500,New York,New York,10012,http://www.krausesawyer.com,01/10/2011,,,"Interior Design, Hospitalilty Design, Graphic/Branding/Product Design",,,Black Diamond ADIA,1030000,100,04/01/2014,Interior Design Guestroom & Public Space Renovation,Muss Development,680000,100,05/01/2014,Interior Design Guestroom & Public Space Renovation,HMS Host,100000,100,04/01/2015,Interior Design & Concept Food Hall,,0,,,
Bryce Construction Inc.,,Patrick Nwokeji,6465235353,718 320-3610,bryce.constructioncorp@gmail.com,MBE,09/30/2018,BLACK,3121 Kingsland Avenue,,Bronx,NY,10466,3121 Kingsland Avenue,,Bronx,New York,10469,,08/18/2006,,,"Carpentry, masonry, concrete, roofing painting, coating etc.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Steadman Parking Services, LLC",,Troy Steadman,6465238754,7187125573,steadman_2@hotmail.com,MBE,03/30/2020,BLACK,139-21 Springfield Boulevard,,Springfield Gardens,NY,11413,1391 21 Springfield Blvd.,,Springfield Garden,New York,11413,,03/17/2015,,,"We provide traffic control services such as flagging, MPI and parking services.",,,Consoildated Edison,4000000,,06/01/2014,"Provided traffic control services, flagging and parking services.",Hallen Construction,2000000,,06/01/2012,"Provided traffic control services, flagging and parking services.",Safeway,15000000,,06/01/2013,"Provided traffic control services, flagging and parkeing services.",,0,,,
"Century General Contracting, Inc.",,Nery Romero,5167718649,5167718649,centurygencont@aol.com,MBE,01/30/2020,HISPANIC,637 Ashland Avenue,,Baldwin,NY,11510,637 Ashland Avenue,,Baldwin,New York,11510,,06/26/1998,,,"We specialize in construction services: Carpentry, masonry, exterior renovations, new construction, construction maintenace, etc.",No,Residential Building Construction,Don Wiss,90000,70,03/01/2014,"Kitchen renovation, demolition, plumbing, electrical and related misc. work.",Maxxum Construction Corp.,19000,100,08/01/2014,"CMU wall partition, demolition. Install new fireproof door.",Anthony McFarlane,135000,80,08/01/2012,Rear addition and renovation of first floor.,,0,,,
A-1 Technology Inc.,,Ishwari Singh,2123977481,,accounting@a1technology.biz,MBE,08/26/2017,ASIAN,115 Broadway,Suite 1304,New York,NY,10006,115 Broadway,Suite 1304,New York,New York,10006,http://www.a1technology.com,05/01/2002,,,Software and Mobile Development.,,,OC Community Resources,99640,100,05/01/2014,Software Development,Rosendin Electric Inc.,58800,100,02/09/2013,Software Development Services.,Office Depot Inc.,40000,100,02/04/2013,"Building applications and web sites in the mobile space, working with the Office Depot Application development team.",,0,,,
"Coastal Environmental Group, Inc.",,John Dimock,6312344100,631 234-4160,Jdimock@coastalgrp.net,MBE,04/30/2017,HISPANIC,250 Executive Drive,Ste. K,Edgewood,NY,11717,250 Executive Drice,Suite K,Edgewood,New York,11717,http://www.coastalgrp.net,07/01/1997,30000000,"Laborers 731, NYC DC Carp  1456, Op Eng 15, Op Eng 138","Full service construction/environmental/marine/energy in remediation including soil, lead and asbestos, waste disposal, demolition, civil, marine construction, conservation measures for federal, state and local government. 24HR on call emergency spills, environmental and construction emergencies any size, any material/ medium.",,,US Army Corp. of Engineers Kansas City,7400000,,12/11/2012,Involves the excavation over 1.7M c/yds. of high moisture content clay/sandy material. Resolve aquatic habitats MO River,"Naval Weapons Station Ft. Earle-Leonardo, NJ",2700000,,11/01/2012,"Demolish and removal debris of existing 10,000ft ductile iron and sewer pipes; installed 1' diameter water main pipe & sewer force of HDPE pipe. Removed HDPE piping, street lights, steel tiles 5- 30yds removed.",Environmental Chemical Corp.,10300000,,03/01/2013,"Clearing & removal of debris, sand & vegetation on ROW and Private Property in 17 Fire Island communities - project completed in 32 days. 1,117 cy of veg. debris and 3,823.04 tons of C&D were collected and barged for disposal. Over 400 peop",,0,,,
WJL Equities Corporation,,Danielle Buenaventura,9147714030,914 771-4063,dbuenaventura@wjlequities.com,"MBE,WBE",08/31/2016;08/31/2016,HISPANIC,247 White Plains Road,,Eastchester,NY,10709,247 White Plains Road,,Eastchester,New York,10709,,06/06/1997,2000000,,"WJL Equities Corporation is a full service MBE/WBE & DBE unionized construction Company. We specialize in asphalt milling, paving, trucking, concrete, masonry, excavation, restoration of roads and various types of utility work.",,,Side Walk & Landscaping,0,,12/01/2007,Replace sidewalk,Father Pat Carroll Greene,0,,07/01/2006,Earthwork for new develpment,Rockview Substation,0,,09/07/2009,Intsallation of new 138 feeder,,0,,,
"The Original Media Group, LLC",,Reginald Richardson,6466647081,,czawadimorris@yahoo.com,MBE,07/30/2020,BLACK,31 Kosciusko  Street,Suite 8A,Brooklyn,NY,11205,31 Kosciusko  Street,Suite 8A,Brooklyn,New York,11205,http://www.originalmediagroup.net,04/21/2000,,,"Founded in 1999, The Original Media Group, LLC (OMG!) is a boutique media relations agency that provides bilingual (English and Spanish) writing services, including a variety of marketing and communications platforms for both print and online publication.  Excellence, accuracy and trust are our core values. OMG provides services including business plan development, grants writing; press release and marketing materials development, media outreach and digital media, including video and online editorial.",,,Brooklyn Navy Yard,900,100,07/01/2015,"Providing advertising space, marketing and editorial support",Noel Pointer Foundation,900,100,06/01/2015,"Providing advertising space, marketing and editorial support",Tap & Cork,150,100,07/01/2015,"Providing advertising space, marketing and editorial support",Bed-Stuy Restoration Corp.,12000,100,04/01/2014,"Providing advertising space, marketing and editorial support"
Smalls Electrical Construction Inc.,,Jeffrey Smalls,7182540009,718 254-8729,jsmalls@smallselectrical.com,MBE,10/31/2017,BLACK,63 Flushing Avenue,"Unit 338, Suite 1107",Brooklyn,NY,11205,63 Flushing Avenue,"Unit 338, Suite 1107",Brooklyn,New York,11205,http://www.smallselectrical.com,06/09/1997,5000000,Electrical Workers Local Union 3,"Furnish and install electrical wiring for power, lighting, communications and controls.",,,NYC Economic Development Corp.,1694000,,04/01/2011,"Providing power and integrated lighting under the FDR Drive, new railing by the river, paving, planting and furniture elements",NYC police Academy,306000,,07/01/2011,Install Electrical Duct banks for manholes with FRE and PVC conduit along with draglines for future service work,New York City Transit,885000,,04/01/2010,Upgraded the power system,,0,,,
Chase Property Management Group Inc,Chase Real Estate,Socario Mass-Khan,9177479008,8887619485,socary@chasepmg.com,"MBE,WBE",06/29/2020;06/29/2020,HISPANIC,1951 Flatbush Avenue,2nd Floor,Brooklyn,NY,11234,20 North Van Brunt Street,Suite 2,Englewood,New Jersey,07631,http://www.chasepmg.com,06/01/2014,56000,,"Chase Property Management Group is a licensed, accredited real estate property management company for multifamily, cooperative, condominium and commercial real estate.  CPMG provides the following services: Property management, real estate sales and investments, debt restructuring, real estate turnaround specialist, commercial and residential real estate.  CMPG!  For all your real estate requirements.",,,Real Estate Assistance LLC,1000,100,05/01/2014,"Manage on site bookeeping, collect rent, pay property bills, creating and executing leases, manage property",80-10 Jamaica Inc.,1000,100,01/01/2012,"Collect rent, site inspections, paying bills, implementing and managing off site bookeeping systems creating executing leases occupancy management",Spring Valley Housing Development Fund Corp.,2500,100,07/01/2014,"Manage 54 unit building, controlling expenditure cost, evictions and other tenant and building related issues, collect rent, paying for all operational and building cost, prepare financial and operating budget",Seo Service Agents LLC,500,90,04/01/2013,"Bookeeping, create business plan, manage his assets"
